stage,total_layoffs
Seed,0.7234
"Series A",0.2613
Acquired,0.1954
Unknown,0.1934
"Series B",0.1840
"Series C",0.1134
"Series G",0.0769
Post-IPO,0.0584
"Series F",0.0513
"Series E",0.0465
"Series D",0.0359
"Private Equity",0.0345
"Series H",0.0000
"Series I",0.0000
Subsidiary,0.0000
"Series J",0.0000
