Year,Month,Total_layoffs
2020,4,26691
2020,5,25804
2020,3,9628
2020,6,7627
2020,7,7112
2020,8,1969
2020,12,852
2020,9,609
2020,10,450
2020,11,237
2021,1,6813
2021,6,2434
2021,11,2070
2021,8,1867
2021,12,1200
2021,2,868
2021,4,261
2021,9,161
2021,7,80
2021,3,47
2021,10,22
2022,11,53381
2022,10,17406
2022,6,17259
2022,7,16223
2022,8,13025
2022,5,12885
2022,12,10329
2022,9,5881
2022,3,5714
2022,4,4128
2022,2,3685
2022,1,510
2023,1,84714
2023,2,36493
2023,3,4470
